var,date,value,name,Description,Source,id,var0
A229RC0,01-08-1994,20008,income,Per capita disposable income,U.S. Bureau of Economic Analysis,44,114.5015452
A229RC0,01-09-1994,20095,income,Per capita disposable income,U.S. Bureau of Economic Analysis,45,114.9994277
A229RC0,01-10-1994,20300,income,Per capita disposable income,U.S. Bureau of Economic Analysis,46,116.1725993
A229RC0,01-11-1994,20319,income,Per capita disposable income,U.S. Bureau of Economic Analysis,47,116.2813323
A229RC0,01-12-1994,20406,income,Per capita disposable income,U.S. Bureau of Economic Analysis,48,116.7792148
A229RC0,01-01-1995,20495,income,Per capita disposable income,U.S. Bureau of Economic Analysis,49,117.288543
A229RC0,01-02-1995,20555,income,Per capita disposable income,U.S. Bureau of Economic Analysis,50,117.6319103
A229RC0,01-03-1995,20632,income,Per capita disposable income,U.S. Bureau of Economic Analysis,51,118.072565
A229RC0,01-04-1995,20514,income,Per capita disposable income,U.S. Bureau of Economic Analysis,52,117.397276
A229RC0,01-05-1995,20733,income,Per capita disposable income,U.S. Bureau of Economic Analysis,53,118.6505666
A229RC0,01-06-1995,20794,income,Per capita disposable income,U.S. Bureau of Economic Analysis,54,118.9996566
A229RC0,01-07-1995,20844,income,Per capita disposable income,U.S. Bureau of Economic Analysis,55,119.285796
A229RC0,01-08-1995,20880,income,Per capita disposable income,U.S. Bureau of Economic Analysis,56,119.4918164
A229RC0,01-09-1995,20939,income,Per capita disposable income,U.S. Bureau of Economic Analysis,57,119.8294609
A229RC0,01-10-1995,20995,income,Per capita disposable income,U.S. Bureau of Economic Analysis,58,120.149937
A229RC0,01-11-1995,21033,income,Per capita disposable income,U.S. Bureau of Economic Analysis,59,120.367403
A229RC0,01-12-1995,21085,income,Per capita disposable income,U.S. Bureau of Economic Analysis,60,120.664988
A229RC0,01-01-1996,21144,income,Per capita disposable income,U.S. Bureau of Economic Analysis,61,121.0026325
A229RC0,01-02-1996,21323,income,Per capita disposable income,U.S. Bureau of Economic Analysis,62,122.0270116
A229RC0,01-03-1996,21437,income,Per capita disposable income,U.S. Bureau of Economic Analysis,63,122.6794094
A229RC0,01-04-1996,21352,income,Per capita disposable income,U.S. Bureau of Economic Analysis,64,122.1929724
A229RC0,01-05-1996,21639,income,Per capita disposable income,U.S. Bureau of Economic Analysis,65,123.8354126
A229RC0,01-06-1996,21747,income,Per capita disposable income,U.S. Bureau of Economic Analysis,66,124.4534737
A229RC0,01-07-1996,21712,income,Per capita disposable income,U.S. Bureau of Economic Analysis,67,124.2531761
A229RC0,01-08-1996,21764,income,Per capita disposable income,U.S. Bureau of Economic Analysis,68,124.5507611
A229RC0,01-09-1996,21852,income,Per capita disposable income,U.S. Bureau of Economic Analysis,69,125.0543665
A229RC0,01-10-1996,21893,income,Per capita disposable income,U.S. Bureau of Economic Analysis,70,125.2890008
A229RC0,01-11-1996,21970,income,Per capita disposable income,U.S. Bureau of Economic Analysis,71,125.7296555
A229RC0,01-12-1996,22050,income,Per capita disposable income,U.S. Bureau of Economic Analysis,72,126.1874785
A229RC0,01-01-1997,22124,income,Per capita disposable income,U.S. Bureau of Economic Analysis,73,126.6109649
A229RC0,01-02-1997,22213,income,Per capita disposable income,U.S. Bureau of Economic Analysis,74,127.120293
A229RC0,01-03-1997,22322,income,Per capita disposable income,U.S. Bureau of Economic Analysis,75,127.7440769
A229RC0,01-04-1997,22339,income,Per capita disposable income,U.S. Bureau of Economic Analysis,76,127.8413643
A229RC0,01-05-1997,22405,income,Per capita disposable income,U.S. Bureau of Economic Analysis,77,128.2190683
A229RC0,01-06-1997,22482,income,Per capita disposable income,U.S. Bureau of Economic Analysis,78,128.659723
A229RC0,01-07-1997,22555,income,Per capita disposable income,U.S. Bureau of Economic Analysis,79,129.0774866
A229RC0,01-08-1997,22664,income,Per capita disposable income,U.S. Bureau of Economic Analysis,80,129.7012705
A229RC0,01-09-1997,22752,income,Per capita disposable income,U.S. Bureau of Economic Analysis,81,130.2048758
A229RC0,01-10-1997,22871,income,Per capita disposable income,U.S. Bureau of Economic Analysis,82,130.8858876
A229RC0,01-11-1997,22998,income,Per capita disposable income,U.S. Bureau of Economic Analysis,83,131.6126817
A229RC0,01-12-1997,23104,income,Per capita disposable income,U.S. Bureau of Economic Analysis,84,132.2192972
A229RC0,01-01-1998,23299,income,Per capita disposable income,U.S. Bureau of Economic Analysis,85,133.3352409
A229RC0,01-02-1998,23416,income,Per capita disposable income,U.S. Bureau of Economic Analysis,86,134.0048071
A229RC0,01-03-1998,23535,income,Per capita disposable income,U.S. Bureau of Economic Analysis,87,134.6858189
A229RC0,01-04-1998,23615,income,Per capita disposable income,U.S. Bureau of Economic Analysis,88,135.143642
A229RC0,01-05-1998,23722,income,Per capita disposable income,U.S. Bureau of Economic Analysis,89,135.7559803
A229RC0,01-06-1998,23812,income,Per capita disposable income,U.S. Bureau of Economic Analysis,90,136.2710312
A229RC0,01-07-1998,23888,income,Per capita disposable income,U.S. Bureau of Economic Analysis,91,136.7059631
A229RC0,01-08-1998,23972,income,Per capita disposable income,U.S. Bureau of Economic Analysis,92,137.1866773
A229RC0,01-09-1998,24003,income,Per capita disposable income,U.S. Bureau of Economic Analysis,93,137.3640838
A229RC0,01-10-1998,24066,income,Per capita disposable income,U.S. Bureau of Economic Analysis,94,137.7246194
A229RC0,01-11-1998,24144,income,Per capita disposable income,U.S. Bureau of Economic Analysis,95,138.1709969
A229RC0,01-12-1998,24193,income,Per capita disposable income,U.S. Bureau of Economic Analysis,96,138.4514135
A229RC0,01-01-1999,24340,income,Per capita disposable income,U.S. Bureau of Economic Analysis,97,139.2926634
A229RC0,01-02-1999,24394,income,Per capita disposable income,U.S. Bureau of Economic Analysis,98,139.6016939
A229RC0,01-03-1999,24417,income,Per capita disposable income,U.S. Bureau of Economic Analysis,99,139.7333181
A229RC0,01-04-1999,24436,income,Per capita disposable income,U.S. Bureau of Economic Analysis,100,139.842051
A229RC0,01-05-1999,24474,income,Per capita disposable income,U.S. Bureau of Economic Analysis,101,140.059517
A229RC0,01-06-1999,24543,income,Per capita disposable income,U.S. Bureau of Economic Analysis,102,140.4543894
A229RC0,01-07-1999,24632,income,Per capita disposable income,U.S. Bureau of Economic Analysis,103,140.9637175
A229RC0,01-08-1999,24759,income,Per capita disposable income,U.S. Bureau of Economic Analysis,104,141.6905116
A229RC0,01-09-1999,24793,income,Per capita disposable income,U.S. Bureau of Economic Analysis,105,141.8850864
A229RC0,01-10-1999,24949,income,Per capita disposable income,U.S. Bureau of Economic Analysis,106,142.7778414
A229RC0,01-11-1999,25113,income,Per capita disposable income,U.S. Bureau of Economic Analysis,107,143.7163786
A229RC0,01-12-1999,25345,income,Per capita disposable income,U.S. Bureau of Economic Analysis,108,145.0440655
A229RC0,01-01-2000,25558,income,Per capita disposable income,U.S. Bureau of Economic Analysis,109,146.2630193
A229RC0,01-02-2000,25718,income,Per capita disposable income,U.S. Bureau of Economic Analysis,110,147.1786654
A229RC0,01-03-2000,25877,income,Per capita disposable income,U.S. Bureau of Economic Analysis,111,148.0885888
A229RC0,01-04-2000,25967,income,Per capita disposable income,U.S. Bureau of Economic Analysis,112,148.6036397
A229RC0,01-05-2000,26074,income,Per capita disposable income,U.S. Bureau of Economic Analysis,113,149.215978
A229RC0,01-06-2000,26212,income,Per capita disposable income,U.S. Bureau of Economic Analysis,114,150.0057228
A229RC0,01-07-2000,26392,income,Per capita disposable income,U.S. Bureau of Economic Analysis,115,151.0358247
A229RC0,01-08-2000,26526,income,Per capita disposable income,U.S. Bureau of Economic Analysis,116,151.8026783
A229RC0,01-09-2000,26644,income,Per capita disposable income,U.S. Bureau of Economic Analysis,117,152.4779673
A229RC0,01-10-2000,26728,income,Per capita disposable income,U.S. Bureau of Economic Analysis,118,152.9586815
A229RC0,01-11-2000,26750,income,Per capita disposable income,U.S. Bureau of Economic Analysis,119,153.0845828
A229RC0,01-12-2000,26820,income,Per capita disposable income,U.S. Bureau of Economic Analysis,120,153.485178
A229RC0,01-01-2001,27069,income,Per capita disposable income,U.S. Bureau of Economic Analysis,121,154.9101522
A229RC0,01-02-2001,27123,income,Per capita disposable income,U.S. Bureau of Economic Analysis,122,155.2191828
A229RC0,01-03-2001,27175,income,Per capita disposable income,U.S. Bureau of Economic Analysis,123,155.5167678
A229RC0,01-04-2001,27121,income,Per capita disposable income,U.S. Bureau of Economic Analysis,124,155.2077372
A229RC0,01-05-2001,27103,income,Per capita disposable income,U.S. Bureau of Economic Analysis,125,155.104727
A229RC0,01-06-2001,27123,income,Per capita disposable income,U.S. Bureau of Economic Analysis,126,155.2191828
A229RC0,01-07-2001,27486,income,Per capita disposable income,U.S. Bureau of Economic Analysis,127,157.2965549
A229RC0,01-08-2001,27909,income,Per capita disposable income,U.S. Bureau of Economic Analysis,128,159.7172943
A229RC0,01-09-2001,27551,income,Per capita disposable income,U.S. Bureau of Economic Analysis,129,157.6685361
A229RC0,01-10-2001,27138,income,Per capita disposable income,U.S. Bureau of Economic Analysis,130,155.3050246
A229RC0,01-11-2001,27129,income,Per capita disposable income,U.S. Bureau of Economic Analysis,131,155.2535195
A229RC0,01-12-2001,27127,income,Per capita disposable income,U.S. Bureau of Economic Analysis,132,155.2420739
A229RC0,01-01-2002,27693,income,Per capita disposable income,U.S. Bureau of Economic Analysis,133,158.481172
A229RC0,01-02-2002,27761,income,Per capita disposable income,U.S. Bureau of Economic Analysis,134,158.8703216
A229RC0,01-03-2002,27836,income,Per capita disposable income,U.S. Bureau of Economic Analysis,135,159.2995307
A229RC0,01-04-2002,28027,income,Per capita disposable income,U.S. Bureau of Economic Analysis,136,160.3925833
A229RC0,01-05-2002,28137,income,Per capita disposable income,U.S. Bureau of Economic Analysis,137,161.02209
A229RC0,01-06-2002,28235,income,Per capita disposable income,U.S. Bureau of Economic Analysis,138,161.5829232
A229RC0,01-07-2002,28203,income,Per capita disposable income,U.S. Bureau of Economic Analysis,139,161.399794
A229RC0,01-08-2002,28242,income,Per capita disposable income,U.S. Bureau of Economic Analysis,140,161.6229827
A229RC0,01-09-2002,28301,income,Per capita disposable income,U.S. Bureau of Economic Analysis,141,161.9606272
A229RC0,01-10-2002,28411,income,Per capita disposable income,U.S. Bureau of Economic Analysis,142,162.5901339
A229RC0,01-11-2002,28494,income,Per capita disposable income,U.S. Bureau of Economic Analysis,143,163.0651253
A229RC0,01-12-2002,28569,income,Per capita disposable income,U.S. Bureau of Economic Analysis,144,163.4943344
A229RC0,01-01-2003,28593,income,Per capita disposable income,U.S. Bureau of Economic Analysis,145,163.6316814
A229RC0,01-02-2003,28592,income,Per capita disposable income,U.S. Bureau of Economic Analysis,146,163.6259586
A229RC0,01-03-2003,28713,income,Per capita disposable income,U.S. Bureau of Economic Analysis,147,164.3184159
A229RC0,01-04-2003,28813,income,Per capita disposable income,U.S. Bureau of Economic Analysis,148,164.8906947
A229RC0,01-05-2003,28983,income,Per capita disposable income,U.S. Bureau of Economic Analysis,149,165.8635687
A229RC0,01-06-2003,29075,income,Per capita disposable income,U.S. Bureau of Economic Analysis,150,166.3900652
A229RC0,01-07-2003,29488,income,Per capita disposable income,U.S. Bureau of Economic Analysis,151,168.7535767
A229RC0,01-08-2003,29767,income,Per capita disposable income,U.S. Bureau of Economic Analysis,152,170.3502346
A229RC0,01-09-2003,29498,income,Per capita disposable income,U.S. Bureau of Economic Analysis,153,168.8108046
A229RC0,01-10-2003,29589,income,Per capita disposable income,U.S. Bureau of Economic Analysis,154,169.3315783
A229RC0,01-11-2003,29782,income,Per capita disposable income,U.S. Bureau of Economic Analysis,155,170.4360765
A229RC0,01-12-2003,29851,income,Per capita disposable income,U.S. Bureau of Economic Analysis,156,170.8309488
A229RC0,01-01-2004,29930,income,Per capita disposable income,U.S. Bureau of Economic Analysis,157,171.2830491
A229RC0,01-02-2004,30028,income,Per capita disposable income,U.S. Bureau of Economic Analysis,158,171.8438823
A229RC0,01-03-2004,30175,income,Per capita disposable income,U.S. Bureau of Economic Analysis,159,172.6851322
A229RC0,01-04-2004,30312,income,Per capita disposable income,U.S. Bureau of Economic Analysis,160,173.4691542
A229RC0,01-05-2004,30542,income,Per capita disposable income,U.S. Bureau of Economic Analysis,161,174.7853954
A229RC0,01-06-2004,30629,income,Per capita disposable income,U.S. Bureau of Economic Analysis,162,175.283278
A229RC0,01-07-2004,30708,income,Per capita disposable income,U.S. Bureau of Economic Analysis,163,175.7353783
A229RC0,01-08-2004,30799,income,Per capita disposable income,U.S. Bureau of Economic Analysis,164,176.256152
A229RC0,01-09-2004,30855,income,Per capita disposable income,U.S. Bureau of Economic Analysis,165,176.5766281
A229RC0,01-10-2004,30979,income,Per capita disposable income,U.S. Bureau of Economic Analysis,166,177.2862539
A229RC0,01-11-2004,30986,income,Per capita disposable income,U.S. Bureau of Economic Analysis,167,177.3263134
A229RC0,01-12-2004,32127,income,Per capita disposable income,U.S. Bureau of Economic Analysis,168,183.8560147
A229RC0,01-01-2005,30978,income,Per capita disposable income,U.S. Bureau of Economic Analysis,169,177.2805311
A229RC0,01-02-2005,31064,income,Per capita disposable income,U.S. Bureau of Economic Analysis,170,177.7726909
A229RC0,01-03-2005,31255,income,Per capita disposable income,U.S. Bureau of Economic Analysis,171,178.8657434
A229RC0,01-04-2005,31420,income,Per capita disposable income,U.S. Bureau of Economic Analysis,172,179.8100034
A229RC0,01-05-2005,31555,income,Per capita disposable income,U.S. Bureau of Economic Analysis,173,180.5825798
A229RC0,01-06-2005,31621,income,Per capita disposable income,U.S. Bureau of Economic Analysis,174,180.9602839
A229RC0,01-07-2005,31771,income,Per capita disposable income,U.S. Bureau of Economic Analysis,175,181.8187021
A229RC0,01-08-2005,31923,income,Per capita disposable income,U.S. Bureau of Economic Analysis,176,182.6885659
A229RC0,01-09-2005,32080,income,Per capita disposable income,U.S. Bureau of Economic Analysis,177,183.5870436
A229RC0,01-10-2005,32266,income,Per capita disposable income,U.S. Bureau of Economic Analysis,178,184.6514822
A229RC0,01-11-2005,32374,income,Per capita disposable income,U.S. Bureau of Economic Analysis,179,185.2695433
A229RC0,01-12-2005,32463,income,Per capita disposable income,U.S. Bureau of Economic Analysis,180,185.7788715
A229RC0,01-01-2006,32955,income,Per capita disposable income,U.S. Bureau of Economic Analysis,181,188.5944832
A229RC0,01-02-2006,33114,income,Per capita disposable income,U.S. Bureau of Economic Analysis,182,189.5044065
A229RC0,01-03-2006,33286,income,Per capita disposable income,U.S. Bureau of Economic Analysis,183,190.4887261
A229RC0,01-04-2006,33400,income,Per capita disposable income,U.S. Bureau of Economic Analysis,184,191.141124
A229RC0,01-05-2006,33441,income,Per capita disposable income,U.S. Bureau of Economic Analysis,185,191.3757583
A229RC0,01-06-2006,33542,income,Per capita disposable income,U.S. Bureau of Economic Analysis,186,191.9537599
A229RC0,01-07-2006,33622,income,Per capita disposable income,U.S. Bureau of Economic Analysis,187,192.4115829
A229RC0,01-08-2006,33678,income,Per capita disposable income,U.S. Bureau of Economic Analysis,188,192.7320591
A229RC0,01-09-2006,33747,income,Per capita disposable income,U.S. Bureau of Economic Analysis,189,193.1269314
A229RC0,01-10-2006,33798,income,Per capita disposable income,U.S. Bureau of Economic Analysis,190,193.4187936
A229RC0,01-11-2006,33924,income,Per capita disposable income,U.S. Bureau of Economic Analysis,191,194.1398649
A229RC0,01-12-2006,34179,income,Per capita disposable income,U.S. Bureau of Economic Analysis,192,195.5991759
A229RC0,01-01-2007,34259,income,Per capita disposable income,U.S. Bureau of Economic Analysis,193,196.056999
A229RC0,01-02-2007,34449,income,Per capita disposable income,U.S. Bureau of Economic Analysis,194,197.1443287
A229RC0,01-03-2007,34657,income,Per capita disposable income,U.S. Bureau of Economic Analysis,195,198.3346687
A229RC0,01-04-2007,34759,income,Per capita disposable income,U.S. Bureau of Economic Analysis,196,198.918393
A229RC0,01-05-2007,34849,income,Per capita disposable income,U.S. Bureau of Economic Analysis,197,199.433444
A229RC0,01-06-2007,34873,income,Per capita disposable income,U.S. Bureau of Economic Analysis,198,199.5707909
A229RC0,01-07-2007,34932,income,Per capita disposable income,U.S. Bureau of Economic Analysis,199,199.9084354
A229RC0,01-08-2007,34942,income,Per capita disposable income,U.S. Bureau of Economic Analysis,200,199.9656633
A229RC0,01-09-2007,35109,income,Per capita disposable income,U.S. Bureau of Economic Analysis,201,200.9213689
A229RC0,01-10-2007,35175,income,Per capita disposable income,U.S. Bureau of Economic Analysis,202,201.2990729
A229RC0,01-11-2007,35298,income,Per capita disposable income,U.S. Bureau of Economic Analysis,203,202.0029758
A229RC0,01-12-2007,35476,income,Per capita disposable income,U.S. Bureau of Economic Analysis,204,203.0216321
A229RC0,01-01-2008,35544,income,Per capita disposable income,U.S. Bureau of Economic Analysis,205,203.4107817
A229RC0,01-02-2008,35572,income,Per capita disposable income,U.S. Bureau of Economic Analysis,206,203.5710198
A229RC0,01-03-2008,35642,income,Per capita disposable income,U.S. Bureau of Economic Analysis,207,203.971615
A229RC0,01-04-2008,35545,income,Per capita disposable income,U.S. Bureau of Economic Analysis,208,203.4165045
A229RC0,01-05-2008,37408,income,Per capita disposable income,U.S. Bureau of Economic Analysis,209,214.0780588
A229RC0,01-06-2008,36696,income,Per capita disposable income,U.S. Bureau of Economic Analysis,210,210.0034337
A229RC0,01-07-2008,36268,income,Per capita disposable income,U.S. Bureau of Economic Analysis,211,207.5540803
A229RC0,01-08-2008,35998,income,Per capita disposable income,U.S. Bureau of Economic Analysis,212,206.0089275
A229RC0,01-09-2008,36075,income,Per capita disposable income,U.S. Bureau of Economic Analysis,213,206.4495822
A229RC0,01-10-2008,36072,income,Per capita disposable income,U.S. Bureau of Economic Analysis,214,206.4324139
A229RC0,01-11-2008,35919,income,Per capita disposable income,U.S. Bureau of Economic Analysis,215,205.5568273
A229RC0,01-12-2008,35516,income,Per capita disposable income,U.S. Bureau of Economic Analysis,216,203.2505437
A229RC0,01-01-2009,35687,income,Per capita disposable income,U.S. Bureau of Economic Analysis,217,204.2291404
A229RC0,01-02-2009,35364,income,Per capita disposable income,U.S. Bureau of Economic Analysis,218,202.3806799
A229RC0,01-03-2009,35285,income,Per capita disposable income,U.S. Bureau of Economic Analysis,219,201.9285796
A229RC0,01-04-2009,35516,income,Per capita disposable income,U.S. Bureau of Economic Analysis,220,203.2505437
A229RC0,01-05-2009,36034,income,Per capita disposable income,U.S. Bureau of Economic Analysis,221,206.2149479
A229RC0,01-06-2009,35561,income,Per capita disposable income,U.S. Bureau of Economic Analysis,222,203.5080691
A229RC0,01-07-2009,35383,income,Per capita disposable income,U.S. Bureau of Economic Analysis,223,202.4894128
A229RC0,01-08-2009,35390,income,Per capita disposable income,U.S. Bureau of Economic Analysis,224,202.5294724
A229RC0,01-09-2009,35524,income,Per capita disposable income,U.S. Bureau of Economic Analysis,225,203.296326
A229RC0,01-10-2009,35522,income,Per capita disposable income,U.S. Bureau of Economic Analysis,226,203.2848804
A229RC0,01-11-2009,35687,income,Per capita disposable income,U.S. Bureau of Economic Analysis,227,204.2291404
A229RC0,01-12-2009,35866,income,Per capita disposable income,U.S. Bureau of Economic Analysis,228,205.2535195
A229RC0,01-01-2010,35965,income,Per capita disposable income,U.S. Bureau of Economic Analysis,229,205.8200755
A229RC0,01-02-2010,35975,income,Per capita disposable income,U.S. Bureau of Economic Analysis,230,205.8773034
A229RC0,01-03-2010,36147,income,Per capita disposable income,U.S. Bureau of Economic Analysis,231,206.861623
A229RC0,01-04-2010,36447,income,Per capita disposable income,U.S. Bureau of Economic Analysis,232,208.5784594
A229RC0,01-05-2010,36709,income,Per capita disposable income,U.S. Bureau of Economic Analysis,233,210.0778299
A229RC0,01-06-2010,36694,income,Per capita disposable income,U.S. Bureau of Economic Analysis,234,209.9919881
A229RC0,01-07-2010,36750,income,Per capita disposable income,U.S. Bureau of Economic Analysis,235,210.3124642
A229RC0,01-08-2010,36895,income,Per capita disposable income,U.S. Bureau of Economic Analysis,236,211.1422685
A229RC0,01-09-2010,36905,income,Per capita disposable income,U.S. Bureau of Economic Analysis,237,211.1994964
A229RC0,01-10-2010,37000,income,Per capita disposable income,U.S. Bureau of Economic Analysis,238,211.7431613
A229RC0,01-11-2010,37083,income,Per capita disposable income,U.S. Bureau of Economic Analysis,239,212.2181527
A229RC0,01-12-2010,37361,income,Per capita disposable income,U.S. Bureau of Economic Analysis,240,213.8090878
A229RC0,01-01-2011,37623,income,Per capita disposable income,U.S. Bureau of Economic Analysis,241,215.3084583
A229RC0,01-02-2011,37812,income,Per capita disposable income,U.S. Bureau of Economic Analysis,242,216.3900652
A229RC0,01-03-2011,37839,income,Per capita disposable income,U.S. Bureau of Economic Analysis,243,216.5445805
A229RC0,01-04-2011,37909,income,Per capita disposable income,U.S. Bureau of Economic Analysis,244,216.9451757
A229RC0,01-05-2011,37946,income,Per capita disposable income,U.S. Bureau of Economic Analysis,245,217.1569189
A229RC0,01-06-2011,38056,income,Per capita disposable income,U.S. Bureau of Economic Analysis,246,217.7864255
A229RC0,01-07-2011,38224,income,Per capita disposable income,U.S. Bureau of Economic Analysis,247,218.747854
A229RC0,01-08-2011,38262,income,Per capita disposable income,U.S. Bureau of Economic Analysis,248,218.9653199
A229RC0,01-09-2011,38237,income,Per capita disposable income,U.S. Bureau of Economic Analysis,249,218.8222502
A229RC0,01-10-2011,38254,income,Per capita disposable income,U.S. Bureau of Economic Analysis,250,218.9195376
A229RC0,01-11-2011,38297,income,Per capita disposable income,U.S. Bureau of Economic Analysis,251,219.1656175
A229RC0,01-12-2011,38660,income,Per capita disposable income,U.S. Bureau of Economic Analysis,252,221.2429896
A229RC0,01-01-2012,39037,income,Per capita disposable income,U.S. Bureau of Economic Analysis,253,223.4004807
A229RC0,01-02-2012,39339,income,Per capita disposable income,U.S. Bureau of Economic Analysis,254,225.1287627
A229RC0,01-03-2012,39541,income,Per capita disposable income,U.S. Bureau of Economic Analysis,255,226.2847659
A229RC0,01-04-2012,39749,income,Per capita disposable income,U.S. Bureau of Economic Analysis,256,227.4751059
A229RC0,01-05-2012,39694,income,Per capita disposable income,U.S. Bureau of Economic Analysis,257,227.1603525
A229RC0,01-06-2012,39626,income,Per capita disposable income,U.S. Bureau of Economic Analysis,258,226.7712029
A229RC0,01-07-2012,39342,income,Per capita disposable income,U.S. Bureau of Economic Analysis,259,225.1459311
A229RC0,01-08-2012,39345,income,Per capita disposable income,U.S. Bureau of Economic Analysis,260,225.1630995
A229RC0,01-09-2012,39721,income,Per capita disposable income,U.S. Bureau of Economic Analysis,261,227.3148678
A229RC0,01-10-2012,40085,income,Per capita disposable income,U.S. Bureau of Economic Analysis,262,229.3979627
A229RC0,01-11-2012,40560,income,Per capita disposable income,U.S. Bureau of Economic Analysis,263,232.1162871
A229RC0,01-12-2012,41517,income,Per capita disposable income,U.S. Bureau of Economic Analysis,264,237.5929953
A229RC0,01-01-2013,39173,income,Per capita disposable income,U.S. Bureau of Economic Analysis,265,224.1787799
A229RC0,01-02-2013,39191,income,Per capita disposable income,U.S. Bureau of Economic Analysis,266,224.2817901
A229RC0,01-03-2013,39240,income,Per capita disposable income,U.S. Bureau of Economic Analysis,267,224.5622067
A229RC0,01-04-2013,39308,income,Per capita disposable income,U.S. Bureau of Economic Analysis,268,224.9513563
A229RC0,01-05-2013,39502,income,Per capita disposable income,U.S. Bureau of Economic Analysis,269,226.0615772
